Date,5yr_excess_return,ECY7,term_spread,infl_vol_12m,infl_trend_5y
1926-07-01,4.310803839723997,8.029477233542128,0.8378205803406624,0.0071422548046461,-0.009991162459231
1926-08-01,2.8544657247220995,7.641546261768453,0.4400709753159928,0.0072645488098944,-0.0081390013727041
1926-09-01,-0.8420005288209964,7.508191062029741,0.6581502690091305,0.0075490692670436,-0.0062439919565082
1926-10-01,-3.264002445810843,7.62142859089287,-0.4833101131259125,0.007788832685321,-0.0043281036638207
1926-11-01,-3.185453415115047,7.509500779287984,-0.3874193295189156,0.0059676570359259,-0.0025856794213964
1926-12-01,-7.756504882870496,7.335501340887495,-0.0438966668890166,0.0058284231392943,-0.0009677754493486
1927-01-01,-7.894488749884099,7.161337102786357,0.2984043086493262,0.0065360208975658,0.0005018903352245
1927-02-01,-8.382310351609535,6.717426560165819,0.1741617231968812,0.0065959221666294,0.0013950366391675
1927-03-01,-8.521537180815319,6.564050959540561,-0.3216646954796718,0.0066032683951806,0.0023840667449778
1927-04-01,-14.139780764042351,5.949223869021676,0.2959043086493262,0.0061719423429696,0.0031145419654064
1927-05-01,-17.070201236801033,5.714884478979049,-0.3233313621463383,0.0065682327740659,0.0036816297158878
1927-06-01,-19.771116904850828,5.701023124564987,0.1708283898635487,0.0074759898609924,0.0044397404845918
1927-07-01,-19.050168360606012,5.491279646046976,-0.3249980288130052,0.0083654243784596,0.0050967219212343
1927-08-01,-12.402733340373306,4.98227742103088,-0.0780633335556828,0.0083688834729077,0.0059409325842643
1927-09-01,-11.638763118777584,4.5738709003469395,0.7840226254098535,0.0083737519215454,0.006607599250931
1927-10-01,-14.107750055827085,4.62270313227198,0.2909043086493263,0.0083785340067492,0.0071801100734418
1927-11-01,-14.633778913597862,4.443021144685609,0.7823559587431865,0.008207745714276,0.007378174882845
1927-12-01,-15.616614296018582,4.199667715057288,0.6586539136739962,0.008207745714276,0.0073868835032907
1928-01-01,-14.922456882056087,3.988471558398622,0.2884043086493264,0.0076576029839933,0.0072950266422031
1928-02-01,-16.921987517569647,3.8105966173294945,-0.6801705154239528,0.0081591905852554,0.0071062896497526
1928-03-01,-17.85710220761506,3.630701674707996,-0.1610460753407485,0.0080498969900106,0.0068138110231907
1928-04-01,-17.06455316312322,3.2051824803789675,0.7253205803406626,0.0080498969900106,0.0064215319974272
1928-05-01,-12.830490457012733,2.9529738207494267,-0.4883101131259124,0.0080550489614403,0.0060303603177979
1928-06-01,-8.652361620325166,2.9879831089910063,-0.3415859961855823,0.0071232099969047,0.0052574742717083
1928-07-01,-7.12921680695604,2.706054101393864,-0.4433101131259125,0.0054302397396954,0.0046679706475226
1928-08-01,-8.707716638090146,2.381253633006418,-0.4208101131259125,0.0052154150648368,0.0040690633905879
1928-09-01,-10.169719079781226,2.0683023120466446,0.2214503319669303,0.0060669217405882,0.0034666537520336
1928-10-01,-12.417765829986704,1.7319985083674905,-1.4999763417155083,0.005985858393751,0.002676280475598
1928-11-01,-13.114613026523813,1.2882900134076247,-1.101521568456595,0.0057936732769019,0.0020839096158861
1928-12-01,-12.789508829551531,1.099282517759979,2.8551192415787185,0.0059907597183097,0.0014967540709716
1929-01-01,-13.01180777277735,0.8310308538030591,-0.5571673389912966,0.0059907597183097,0.0008080440975795
1929-02-01,-11.65929713241418,1.0703492418658165,-0.8324041275235565,0.0049727235211062,0.0004112187007541
1929-03-01,-12.892017671479351,0.8681890162457804,-0.6088340056579633,0.0052526064345825,1.6133766195536304e-05
1929-04-01,-12.370068348922336,0.7016817991166855,-0.8840707941902233,0.0054739618953561,-0.0002774173370721
1929-05-01,-14.553965143174054,0.6774574250872472,-1.91300206569515,0.0054818245889146,-0.0005698351160731
1929-06-01,-14.531433627391054,0.7538558189077156,-2.9507605381225552,0.0055793592751887,-0.0005698351160731
1929-07-01,-16.909084241200723,0.3532179533949273,-0.5876705154239525,0.0065190872849213,-0.0002780041173877
1929-08-01,-18.49218957752693,0.0385127539450693,-1.4878540868139067,0.0065190872849213,1.4393543430922064e-05
1929-09-01,-19.44576427976388,-0.0975211127060626,-0.8884673865281725,0.0055793592751887,0.0001112927682371
1929-10-01,-17.251152997011264,0.2245868824172139,-2.2943197194086897,0.0052748150584461,0.0003045311067234
1929-11-01,-11.000995877452944,1.5417303383872172,-1.1898110315885706,0.0052748150584461,0.0004977694452098
1929-12-01,-11.54146150648844,1.1047686363193936,-1.2156443649219044,0.0052711680600397,0.0005952353321494
1930-01-01,-11.731029020236829,0.8040154125949508,1.5970034414140537,0.0055793592751887,0.0005952353321494
1930-02-01,-13.327680672271905,0.337772616904104,-0.3658313621463387,0.0058304600653349,0.0004977694452098
1930-03-01,-15.088156993820556,-0.0009683437891574,-0.9834673865281728,0.0058333506847288,0.0002047984556444
1930-04-01,-14.832720834108404,-0.4747625707497231,0.7531892920765197,0.0058336667313236,0.0001073393536604
1930-05-01,-12.248188976463648,-0.3918436072142963,0.1416617231968819,0.0058333506847288,-0.0002848175090846
1930-06-01,-9.495207740922272,-0.0538887168814081,0.0222836653002636,0.0056559211038147,-0.0010674112483347
1930-07-01,-8.047972692300087,-0.0528058272655593,0.8884232054596755,0.004685745176996,-0.0023265803657332
1930-08-01,-6.512617150361399,0.1787598078122068,2.2338045961430124,0.0046073760069581,-0.0037835677849784
1930-09-01,-6.071595520053819,0.4307022991954286,0.6511539136739959,0.0053495031298868,-0.0050427369023769
1930-10-01,-2.5848089072737945,1.283586572233694,2.2421379294763457,0.0052813087330086,-0.0062979459358491
